Date,Close
2004-01-30,50.65
2004-02-02,50.68
2004-02-03,50.68
2004-02-04,51.38
2004-02-05,51.49
2004-02-06,51.92
2004-02-09,52.07
2004-02-10,52.2
2004-02-11,52.06
2004-02-12,52.27
2004-02-13,52.09
2004-02-17,52.47
2004-02-18,52.43
2004-02-19,52.78
2004-02-20,52.95
2004-02-23,53.27
2004-02-24,52.75
2004-02-25,53.09
2004-02-26,53.24
2004-02-27,53.55
2004-03-01,53.98
2004-03-02,53.55
2004-03-03,53.67
2004-03-04,53.6
2004-03-05,53.68
2004-03-08,53.69
2004-03-09,53.68
2004-03-10,53.57
2004-03-11,52.62
2004-03-12,52.54
2004-03-15,52
2004-03-16,51.95
2004-03-17,52.71
2004-03-18,52.63
2004-03-19,52.5
2004-03-22,51.92
2004-03-23,51.9
2004-03-24,51.58
2004-03-25,52.45
2004-03-26,52.22
2004-03-29,52.73
2004-03-30,53.02
2004-03-31,53.22
2004-04-01,53.16
2004-04-02,53.15
2004-04-05,53.43
2004-04-06,53.59
2004-04-07,53.49
2004-04-08,53.26
2004-04-12,53.44
2004-04-13,53
2004-04-14,52.92
2004-04-15,53.45
2004-04-16,53.77
2004-04-19,53.93
2004-04-20,54.11
2004-04-21,53.7
2004-04-22,54.16
2004-04-23,54.25
2004-04-26,54.28
2004-04-27,54.33
2004-04-28,53.78
2004-04-29,53.87
2004-04-30,54.13
2004-05-03,54.3
2004-05-04,54.1
2004-05-05,54.31
2004-05-06,53.99
2004-05-07,53.68
2004-05-10,53.16
2004-05-11,53.02
2004-05-12,52.78
2004-05-13,52.55
2004-05-14,52.82
2004-05-17,52.53
2004-05-18,52.75
2004-05-19,52.6
2004-05-20,52.58
2004-05-21,52.57
2004-05-24,52.15
2004-05-25,52.52
2004-05-26,53.13
2004-05-27,53.61
2004-05-28,53.55
2004-06-01,53.38
2004-06-02,53.93
2004-06-03,53.85
2004-06-04,53.92
2004-06-07,54.35
2004-06-08,54.56
2004-06-09,54.39
2004-06-10,54.34
2004-06-14,54.12
2004-06-15,54.34
2004-06-16,54.44
2004-06-17,54.29
2004-06-18,54.04
2004-06-21,54.38
2004-06-22,54.41
2004-06-24,54.24
2004-06-25,54.14
2004-06-28,53.95
2004-06-29,53.99
2004-06-30,54.16
2004-07-01,53.87
2004-07-02,53.7
2004-07-06,53.67
2004-07-07,53.74
2004-07-08,53.67
2004-07-09,53.81
2004-07-12,53.56
2004-07-13,53.89
2004-07-14,53.82
2004-07-15,53.68
2004-07-16,53.56
2004-07-19,53.44
2004-07-20,53.44
2004-07-21,52.92
2004-07-22,52.23
2004-07-23,51.72
2004-07-26,51.55
2004-07-27,51.89
2004-07-28,51.77
2004-07-29,51.33
2004-07-30,51.21
2004-08-02,51.89
2004-08-03,51.83
2004-08-04,51.59
2004-08-05,51.3
2004-08-06,50.6
2004-08-09,50.69
2004-08-10,50.9
2004-08-11,51.41
2004-08-12,51.41
2004-08-13,51.33
2004-08-16,51.64
2004-08-17,51.8
2004-08-18,52.09
2004-08-19,51.95
2004-08-20,52.05
2004-08-23,52.18
2004-08-24,52.14
2004-08-25,52.36
2004-08-26,52.48
2004-08-30,52.14
2004-08-31,52.2
2004-09-01,52.33
2004-09-02,52.79
2004-09-03,53.21
2004-09-07,53.1
2004-09-08,52.65
2004-09-09,52.37
2004-09-10,52.33
2004-09-13,52.47
2004-09-14,52.56
2004-09-15,52.14
2004-09-16,51.79
2004-09-17,52.05
2004-09-20,51.16
2004-09-21,50.88
2004-09-22,50.54
2004-09-23,50.59
2004-09-24,50.59
2004-09-28,50.52
2004-09-29,50.4
2004-09-30,50.94
2004-10-01,51.46
2004-10-04,51.56
2004-10-05,51.3
2004-10-06,51.42
2004-10-07,51.36
2004-10-08,50.7
2004-10-11,50.76
2004-10-12,50.73
2004-10-13,50.48
2004-10-14,50.37
2004-10-15,50.8
2004-10-18,50.8
2004-10-19,50.85
2004-10-20,50.55
2004-10-21,50.6
2004-10-22,50.6
2004-10-25,50.11
2004-10-26,50.33
2004-10-27,51.06
2004-10-28,51.43
2004-10-29,51.35
2004-11-01,51.17
2004-11-02,51.79
2004-11-03,52.03
2004-11-04,53.5
2004-11-05,53.66
2004-11-08,53.66
2004-11-09,53.66
2004-11-10,53.72
2004-11-11,54.15
2004-11-12,54.41
2004-11-15,54.36
2004-11-16,54.11
2004-11-17,54.28
2004-11-18,54.33
2004-11-19,53.76
2004-11-22,54.01
2004-11-23,53.83
2004-11-24,53.98
2004-11-26,54.09
2004-11-29,53.72
2004-11-30,53.41
2004-12-01,53.77
2004-12-02,54.38
2004-12-03,54.42
2004-12-06,54.06
2004-12-07,53.96
2004-12-08,53.95
2004-12-09,54.56
2004-12-10,54.72
2004-12-13,54.79
2004-12-14,55.32
2004-12-15,55.33
2004-12-16,55.19
2004-12-17,54.92
2004-12-20,54.73
2004-12-21,55.26
2004-12-23,54.33
2004-12-27,54.33
2004-12-28,54.52
2004-12-29,54.5
2004-12-30,54.72
2004-12-31,54.57
2005-01-03,54.19
2005-01-04,53.9
2005-01-05,53.9
2005-01-06,53.98
2005-01-07,54.36
2005-01-10,54.72
2005-01-11,54.53
2005-01-12,54.57
2005-01-13,54.49
2005-01-14,54.71
2005-01-18,55.29
2005-01-19,55.35
2005-01-20,54.99
2005-01-21,54.71
2005-01-24,54.47
2005-01-25,54.63
2005-01-26,54.68
2005-01-27,54.97
2005-01-28,55.1
2005-01-31,55.2
2005-02-01,55.33
2005-02-02,55.76
2005-02-03,55.65
2005-02-04,56.12
2005-02-07,56.1
2005-02-08,56.05
2005-02-09,55.5
2005-02-10,55.73
2005-02-11,55.84
2005-02-14,55.95
2005-02-15,56.03
2005-02-16,56.06
2005-02-17,55.72
2005-02-18,55.6
2005-02-22,54.73
2005-02-23,55.01
2005-02-24,55.27
2005-02-25,55.5
2005-02-28,55.5
2005-03-01,56
2005-03-02,55.95
2005-03-03,56.03
